"region_id","data_origin_id","response_id","year","percentage"
6,0,11,2017,0.047388
7,0,10,2017,0.9088246999999999
7,0,11,2017,0.0911753
8,0,10,2017,0.9615091999999998
8,0,11,2017,0.0384908
9,0,10,2017,0.9038787
9,0,11,2017,0.0961213
10,0,10,2017,0.9500173000000001
10,0,11,2017,0.0499827
11,0,10,2017,0.8427794
11,0,11,2017,0.15722060000000002
12,0,10,2017,0.9713839
12,0,11,2017,0.0286161
13,0,10,2017,0.9449378
13,0,11,2017,0.0550622
14,0,10,2017,0.9714571
14,0,11,2017,0.028542900000000003
15,0,10,2017,0.9397493
15,0,11,2017,0.0602507
16,0,10,2017,0.9427321
16,0,11,2017,0.0572679
17,0,10,2017,0.9804811
17,0,11,2017,0.019518900000000002
18,0,10,2017,0.8070258000000001
18,0,11,2017,0.1929742
19,0,10,2017,0.9343151
19,0,11,2017,0.06568489999999999
20,0,10,2017,0.8367409
20,0,11,2017,0.16325910000000002
21,0,10,2017,0.9362533000000002
21,0,11,2017,0.0637467
22,0,10,2017,0.9101841
22,0,11,2017,0.0898159
23,0,10,2017,0.9715742
23,0,11,2017,0.0284258
24,0,10,2017,0.9496775
24,0,11,2017,0.0503225
0,0,12,2017,0.5940945148
1,0,12,2017,0.4804534316
2,0,12,2017,0.6437703967
3,0,12,2017,0.4697827101
4,0,12,2017,0.3920233846
5,0,12,2017,0.5503947735
6,0,12,2017,0.56510818
7,0,12,2017,0.49505680799999996
8,0,12,2017,0.8159989119000001
9,0,12,2017,0.4517478943
10,0,12,2017,0.4531876743
11,0,12,2017,0.5757283568
12,0,12,2017,0.4226589799
13,0,12,2017,0.48496875170000003
14,0,12,2017,0.5567864776
15,0,12,2017,0.5205301642
16,0,12,2017,0.6340320110000001
17,0,12,2017,0.5481917857999999
18,0,12,2017,0.5261572003
19,0,12,2017,0.4614241719
20,0,12,2017,0.41055622700000005
21,0,12,2017,0.4215685129
22,0,12,2017,0.5523739457000001
23,0,12,2017,0.49682500960000003
24,0,12,2017,0.5561932325
0,0,13,2017,0.4059054852
1,0,13,2017,0.5195465683999999
2,0,13,2017,0.35622960330000003
3,0,13,2017,0.5302172898999999
4,0,13,2017,0.6079766154
5,0,13,2017,0.4496052265
6,0,13,2017,0.43489182
7,0,13,2017,0.504943192
8,0,13,2017,0.1840010881
9,0,13,2017,0.5482521057
10,0,13,2017,0.5468123256999999
11,0,13,2017,0.4242716432000001
12,0,13,2017,0.5773410201
13,0,13,2017,0.5150312483
14,0,13,2017,0.4432135224
15,0,13,2017,0.47946983579999997
16,0,13,2017,0.365967989
17,0,13,2017,0.4518082142
18,0,13,2017,0.4738427997
19,0,13,2017,0.5385758280999999
20,0,13,2017,0.589443773
21,0,13,2017,0.5784314871
22,0,13,2017,0.4476260543
23,0,13,2017,0.5031749904
24,0,13,2017,0.4438067675
0,0,14,2017,0.6526411772
0,0,15,2017,0.3473588228
1,0,14,2017,0.38327491280000003
1,0,15,2017,0.6167250872
2,0,14,2017,0.6474007368
2,0,15,2017,0.3525992632
3,0,14,2017,0.4390009642
3,0,15,2017,0.5609990358
4,0,14,2017,0.7254088521
4,0,15,2017,0.2745911479
5,0,14,2017,0.3387410343
5,0,15,2017,0.6612589657
6,0,14,2017,0.2688035071
6,0,15,2017,0.7311964929000001
7,0,14,2017,0.46072834729999995
7,0,15,2017,0.5392716527
8,0,14,2017,0.4199218452
8,0,15,2017,0.5800781547999999
9,0,14,2017,0.5368363261
9,0,15,2017,0.4631636739
10,0,14,2017,0.3493616581
10,0,15,2017,0.6506383419
11,0,14,2017,0.4752191007
11,0,15,2017,0.5247808992999999
12,0,14,2017,0.29760450120000004
12,0,15,2017,0.7023954988000001
13,0,14,2017,0.2237851471
13,0,15,2017,0.7762148529
14,0,14,2017,0.24650856850000002
14,0,15,2017,0.7534914315000001
15,0,14,2017,0.5750284195
15,0,15,2017,0.42497158049999995
16,0,14,2017,0.7622659206
16,0,15,2017,0.2377340794
17,0,14,2017,0.3815941811
17,0,15,2017,0.6184058189
18,0,14,2017,0.4764468968
18,0,15,2017,0.5235531032
19,0,14,2017,0.2739615738
19,0,15,2017,0.7260384262
20,0,14,2017,0.531924665
20,0,15,2017,0.468075335
21,0,14,2017,0.49543935060000005
21,0,15,2017,0.5045606494
22,0,14,2017,0.2223058045
22,0,15,2017,0.7776941955
23,0,14,2017,0.45852309469999997
23,0,15,2017,0.5414769053
24,0,14,2017,0.5240587592
24,0,15,2017,0.4759412408
